"Story","Title","Result","Date","Stability","Duration (s)"
"Student CRUD test with steps","This will create new student","SUCCESS","2022-01-08T22:10:42.237Z[Europe/London]","0.0","1.94"
"Student CRUD test with steps","Test002","SUCCESS","2022-01-08T22:10:44.192Z[Europe/London]","0.0","0.38"
"Student CRUD test with steps","Update the user information and verify the updated information","SUCCESS","2022-01-08T22:10:44.576Z[Europe/London]","0.0","0.08"
"Student CRUD test with steps","Delete the student and verify if the student is deleted!","SUCCESS","2022-01-08T22:10:44.654Z[Europe/London]","0.0","0.04"
